Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
OrangePiRelay,DE,1678,4,79.211.189.91,p4FD3BD5B.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-02-03,DTAG Internet service provider operations- DE,3320,6510,None
yakooza,MD,1677,99,178.17.174.200,178-17-174-200.static.as43289.net,443,None,0,1,1,0,0,1,1,1,1,Tor 0.3.3.3-alpha on Linux,0,0,2018-05-16,TRABIA trabia network- MD,43289,4300,None
TORdashRELAYdotUS,US,1669,509,50.21.183.46,readme.tor-relay.us,59999,60000,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2017-08-29,ONEANDONE-AS Brauerstrasse 48- DE,8560,9710,[2607:f1c0:84e:deaf:deaf:deaf:deaf:deaf]:59999
nsaciabrb,US,1668,283,71.244.170.22,pool-71-244-170-22.bltmmd.fios.verizon.net,8500,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2017-01-28,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,5410,None
Schiller2,MD,1668,157,178.17.170.194,178.17.170.194,444,81,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2017-04-22,TRABIA trabia network- MD,43289,5100,[2a00:1dc0:caff:71::e4da]:444
BraveKhafre,US,1666,2179,65.49.20.10,65.49.20.10,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2018-06-28,HURRICANE - Hurricane Electric LLC- US,6939,8430,None
keystone,PL,1666,186,185.24.218.182,mta29.justday.club,9001,8080,0,1,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-19,LIVENET-- PL,59491,9140,None
Unnamed,FI,1664,321,185.100.86.154,torsrv0.snydernet.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2016-04-13,FLOKINET- SC,200651,9050,[2a06:1700:1::7]:443
darknode,US,1663,165,104.248.17.239,104.248.17.239,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-20,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,15200,None
dc6jgk6,DE,1663,2782,62.141.48.175,keywebtor2.gkware.com,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.6 on Linux,0,0,2016-10-07,KEYWEB-AS- DE,31103,4630,[2001:1b60:2:32:4104:104:0:1]:443
cockroach,HU,1661,170,92.249.143.119,92-249-143-119.static.digikabel.hu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.4.29 on Linux,0,0,2013-12-21,DIGICABLE- HU,20845,7660,None
default,US,1659,82,161.97.195.50,161.97.195.50,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.23 on Windows 8,0,0,2018-04-12,COL-LPC - Longmont Power & Communications- US,393552,7450,None
Torshow,RU,1659,41,46.17.46.199,46.17.46.199,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-09,ASBAXET- RU,51659,3230,None
sqrrm,US,1658,2104,205.185.122.150,zeus.moneycreature.info,443,None,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2018-03-21,PONYNET - FranTech Solutions- US,53667,7200,None
NorthernEnd,DE,1656,1058,5.189.158.111,5.189.158.111,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.1.10 on Linux,0,0,2018-07-06,CONTABO- DE,51167,11900,None
UbuntuCore242,US,1654,198,72.79.53.245,pool-72-79-53-245.nwrknj.east.verizon.net,33545,None,0,0,1,0,0,0,1,1,1,Tor 0.3.2.12 on Linux,0,0,2018-03-23,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,5620,None
TORoid,HU,1653,40,94.21.181.183,94-21-181-183.pool.digikabel.hu,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.3.7 on Linux,0,0,2018-02-07,DIGICABLE- HU,20845,6930,None
